File,Drug,ADE,Sentence
LIPITOR.216,lipitor,high blood pressure,"i know my cholesterol will always be high, but after 2 weeks off lipitor, i feel better each day and know it's not my age causing the pain, high blood pressure, memory loss, dizzines."
LIPITOR.216,lipitor,memory loss,"i know my cholesterol will always be high, but after 2 weeks off lipitor, i feel better each day and know it's not my age causing the pain, high blood pressure, memory loss, dizzines."
LIPITOR.216,lipitor,pain,"i know my cholesterol will always be high, but after 2 weeks off lipitor, i feel better each day and know it's not my age causing the pain, high blood pressure, memory loss, dizzines."
LIPITOR.217,advil,pain,the pain was so bad i could not get out of the bed and had to crawl to get to the bathroom to take advil.
LIPITOR.217,lipitor,lack of energy,i also had been experiencing lack of energy for quite some time and i attributed this to stress but after reading this website i feel it was due to the lipitor also.
LIPITOR.217,lipitor,stress,i also had been experiencing lack of energy for quite some time and i attributed this to stress but after reading this website i feel it was due to the lipitor also.
LIPITOR.218,lipitor,fibromyalgia,"i have several symptoms listed here, but not sure if related to the lipitor, as i have other health issues arthritis, fibromyalgia, plantar fasciitis"
LIPITOR.218,lipitor,elevated liver enzymes,"i do have slightly elevated liver enzymes x18months , md not sure if from lipitor or 'fatty liver'."
LIPITOR.218,lipitor,fatty liver,"i do have slightly elevated liver enzymes x18months , md not sure if from lipitor or 'fatty liver'."
LIPITOR.219,lipitor,high,"i don't even have high cholesterol, but my cardiologist suggested i take lipitor as a preventitive treatment."
LIPITOR.221,lipitor,als,"stopped taking lipitor in april 2006 and rapidly improved, but a month later started going downhill again and have now been diagnosed with als."
LIPITOR.222,lipitor,soreness of muscles,took 10mg lipitor for 7 years had soreness of muscles for 4 years.
LIPITOR.223,lipitor,couldn't move shoulders,"took lipitor for over a year with no negative effects, then gradually developed terrible joint pain, couldn't move shoulders, hips hurt, had to push out of chair like old person."
LIPITOR.223,lipitor,hips hurt,"took lipitor for over a year with no negative effects, then gradually developed terrible joint pain, couldn't move shoulders, hips hurt, had to push out of chair like old person."
LIPITOR.223,lipitor,joint pain,"took lipitor for over a year with no negative effects, then gradually developed terrible joint pain, couldn't move shoulders, hips hurt, had to push out of chair like old person."
LIPITOR.229,lipitor,pain,my family convince me to stop takng the lipitor after my daughter found this site and after 4 days - no swelling and the pain has subsided!!!
LIPITOR.229,lipitor,swelling,my family convince me to stop takng the lipitor after my daughter found this site and after 4 days - no swelling and the pain has subsided!!!
LIPITOR.23,lipitor,kidney damage,lipitor caused permanent liver and kidney damage to me and is a killer.
LIPITOR.230,lipitor,foggy-headedness,general foggy-headedness. took the drug for several years before realizing that lipitor might be the cause of these symptoms.
LIPITOR.234,lipitor,light head,doctor refering me to a nuerologist for twitching and light head. will ask about possibility of lipitor. lowered my cholesterol from 255 to 173.
LIPITOR.234,lipitor,twitching,doctor refering me to a nuerologist for twitching and light head. will ask about possibility of lipitor. lowered my cholesterol from 255 to 173.
LIPITOR.239,lipitor,lower back pain,maybe lipitor? hips are sore and lower back pain.
LIPITOR.239,lipitor,sore,maybe lipitor? hips are sore and lower back pain.
LIPITOR.242,lipitor,extreme anxiety,"but after starting lipitor i've gradually descended into a world of extreme anxiety, hopelessness, lonliness, and self loathing."
LIPITOR.242,lipitor,hopelessness,"but after starting lipitor i've gradually descended into a world of extreme anxiety, hopelessness, lonliness, and self loathing."
LIPITOR.242,lipitor,lonliness,"but after starting lipitor i've gradually descended into a world of extreme anxiety, hopelessness, lonliness, and self loathing."
LIPITOR.242,lipitor,self loathing,"but after starting lipitor i've gradually descended into a world of extreme anxiety, hopelessness, lonliness, and self loathing."
LIPITOR.247,lipitor,blind spot,"thyroid disease not sure if lipitor caused , vision problems blind spot in right eye , hives, severe pain in left shoulder, arm, and hand."
LIPITOR.247,lipitor,hives,"thyroid disease not sure if lipitor caused , vision problems blind spot in right eye , hives, severe pain in left shoulder, arm, and hand."
LIPITOR.247,lipitor,severe pain in left shoulder,"thyroid disease not sure if lipitor caused , vision problems blind spot in right eye , hives, severe pain in left shoulder, arm, and hand."
LIPITOR.247,lipitor,vision problems,"thyroid disease not sure if lipitor caused , vision problems blind spot in right eye , hives, severe pain in left shoulder, arm, and hand."
LIPITOR.247,thyroid,blind spot,"thyroid disease not sure if lipitor caused , vision problems blind spot in right eye , hives, severe pain in left shoulder, arm, and hand."
LIPITOR.247,thyroid,hives,"thyroid disease not sure if lipitor caused , vision problems blind spot in right eye , hives, severe pain in left shoulder, arm, and hand."
LIPITOR.247,thyroid,severe pain in left shoulder,"thyroid disease not sure if lipitor caused , vision problems blind spot in right eye , hives, severe pain in left shoulder, arm, and hand."
LIPITOR.247,thyroid,vision problems,"thyroid disease not sure if lipitor caused , vision problems blind spot in right eye , hives, severe pain in left shoulder, arm, and hand."
LIPITOR.247,lipitor,blind spot,these symptoms except for the blind spot manifested gradually after several years on lipitor.
LIPITOR.248,insalin,high sugar attack,i had a high sugar attack and have been on insalin ever since.
LIPITOR.249,actose,high,"vision problems, stiff neck symtoms, nerve pain and weakness in forearms from the elbows to the wrists in both arms with pain. took it with co q 10, vitamins, and bp med prinivil,estratest, actose,and flaxseed daily high fiber diet lowered choles."
LIPITOR.249,actose,nerve pain,"vision problems, stiff neck symtoms, nerve pain and weakness in forearms from the elbows to the wrists in both arms with pain. took it with co q 10, vitamins, and bp med prinivil,estratest, actose,and flaxseed daily high fiber diet lowered choles."
LIPITOR.249,actose,pain,"vision problems, stiff neck symtoms, nerve pain and weakness in forearms from the elbows to the wrists in both arms with pain. took it with co q 10, vitamins, and bp med prinivil,estratest, actose,and flaxseed daily high fiber diet lowered choles."
LIPITOR.249,actose,stiff neck,"vision problems, stiff neck symtoms, nerve pain and weakness in forearms from the elbows to the wrists in both arms with pain. took it with co q 10, vitamins, and bp med prinivil,estratest, actose,and flaxseed daily high fiber diet lowered choles."
LIPITOR.249,actose,vision problems,"vision problems, stiff neck symtoms, nerve pain and weakness in forearms from the elbows to the wrists in both arms with pain. took it with co q 10, vitamins, and bp med prinivil,estratest, actose,and flaxseed daily high fiber diet lowered choles."
LIPITOR.249,actose,weakness,"vision problems, stiff neck symtoms, nerve pain and weakness in forearms from the elbows to the wrists in both arms with pain. took it with co q 10, vitamins, and bp med prinivil,estratest, actose,and flaxseed daily high fiber diet lowered choles."
LIPITOR.249,co q 10,high,"vision problems, stiff neck symtoms, nerve pain and weakness in forearms from the elbows to the wrists in both arms with pain. took it with co q 10, vitamins, and bp med prinivil,estratest, actose,and flaxseed daily high fiber diet lowered choles."
LIPITOR.249,co q 10,nerve pain,"vision problems, stiff neck symtoms, nerve pain and weakness in forearms from the elbows to the wrists in both arms with pain. took it with co q 10, vitamins, and bp med prinivil,estratest, actose,and flaxseed daily high fiber diet lowered choles."
LIPITOR.249,co q 10,pain,"vision problems, stiff neck symtoms, nerve pain and weakness in forearms from the elbows to the wrists in both arms with pain. took it with co q 10, vitamins, and bp med prinivil,estratest, actose,and flaxseed daily high fiber diet lowered choles."
LIPITOR.249,co q 10,stiff neck,"vision problems, stiff neck symtoms, nerve pain and weakness in forearms from the elbows to the wrists in both arms with pain. took it with co q 10, vitamins, and bp med prinivil,estratest, actose,and flaxseed daily high fiber diet lowered choles."
LIPITOR.249,co q 10,vision problems,"vision problems, stiff neck symtoms, nerve pain and weakness in forearms from the elbows to the wrists in both arms with pain. took it with co q 10, vitamins, and bp med prinivil,estratest, actose,and flaxseed daily high fiber diet lowered choles."
LIPITOR.249,co q 10,weakness,"vision problems, stiff neck symtoms, nerve pain and weakness in forearms from the elbows to the wrists in both arms with pain. took it with co q 10, vitamins, and bp med prinivil,estratest, actose,and flaxseed daily high fiber diet lowered choles."
LIPITOR.249,estratest,high,"vision problems, stiff neck symtoms, nerve pain and weakness in forearms from the elbows to the wrists in both arms with pain. took it with co q 10, vitamins, and bp med prinivil,estratest, actose,and flaxseed daily high fiber diet lowered choles."
LIPITOR.249,estratest,nerve pain,"vision problems, stiff neck symtoms, nerve pain and weakness in forearms from the elbows to the wrists in both arms with pain. took it with co q 10, vitamins, and bp med prinivil,estratest, actose,and flaxseed daily high fiber diet lowered choles."
LIPITOR.249,estratest,pain,"vision problems, stiff neck symtoms, nerve pain and weakness in forearms from the elbows to the wrists in both arms with pain. took it with co q 10, vitamins, and bp med prinivil,estratest, actose,and flaxseed daily high fiber diet lowered choles."
LIPITOR.249,estratest,stiff neck,"vision problems, stiff neck symtoms, nerve pain and weakness in forearms from the elbows to the wrists in both arms with pain. took it with co q 10, vitamins, and bp med prinivil,estratest, actose,and flaxseed daily high fiber diet lowered choles."
LIPITOR.249,estratest,vision problems,"vision problems, stiff neck symtoms, nerve pain and weakness in forearms from the elbows to the wrists in both arms with pain. took it with co q 10, vitamins, and bp med prinivil,estratest, actose,and flaxseed daily high fiber diet lowered choles."
LIPITOR.249,estratest,weakness,"vision problems, stiff neck symtoms, nerve pain and weakness in forearms from the elbows to the wrists in both arms with pain. took it with co q 10, vitamins, and bp med prinivil,estratest, actose,and flaxseed daily high fiber diet lowered choles."
LIPITOR.249,flaxseed,high,"vision problems, stiff neck symtoms, nerve pain and weakness in forearms from the elbows to the wrists in both arms with pain. took it with co q 10, vitamins, and bp med prinivil,estratest, actose,and flaxseed daily high fiber diet lowered choles."
LIPITOR.249,flaxseed,nerve pain,"vision problems, stiff neck symtoms, nerve pain and weakness in forearms from the elbows to the wrists in both arms with pain. took it with co q 10, vitamins, and bp med prinivil,estratest, actose,and flaxseed daily high fiber diet lowered choles."
LIPITOR.249,flaxseed,pain,"vision problems, stiff neck symtoms, nerve pain and weakness in forearms from the elbows to the wrists in both arms with pain. took it with co q 10, vitamins, and bp med prinivil,estratest, actose,and flaxseed daily high fiber diet lowered choles."
LIPITOR.249,flaxseed,stiff neck,"vision problems, stiff neck symtoms, nerve pain and weakness in forearms from the elbows to the wrists in both arms with pain. took it with co q 10, vitamins, and bp med prinivil,estratest, actose,and flaxseed daily high fiber diet lowered choles."
LIPITOR.249,flaxseed,vision problems,"vision problems, stiff neck symtoms, nerve pain and weakness in forearms from the elbows to the wrists in both arms with pain. took it with co q 10, vitamins, and bp med prinivil,estratest, actose,and flaxseed daily high fiber diet lowered choles."
LIPITOR.249,flaxseed,weakness,"vision problems, stiff neck symtoms, nerve pain and weakness in forearms from the elbows to the wrists in both arms with pain. took it with co q 10, vitamins, and bp med prinivil,estratest, actose,and flaxseed daily high fiber diet lowered choles."
LIPITOR.249,prinivil,high,"vision problems, stiff neck symtoms, nerve pain and weakness in forearms from the elbows to the wrists in both arms with pain. took it with co q 10, vitamins, and bp med prinivil,estratest, actose,and flaxseed daily high fiber diet lowered choles."
LIPITOR.249,prinivil,nerve pain,"vision problems, stiff neck symtoms, nerve pain and weakness in forearms from the elbows to the wrists in both arms with pain. took it with co q 10, vitamins, and bp med prinivil,estratest, actose,and flaxseed daily high fiber diet lowered choles."
LIPITOR.249,prinivil,pain,"vision problems, stiff neck symtoms, nerve pain and weakness in forearms from the elbows to the wrists in both arms with pain. took it with co q 10, vitamins, and bp med prinivil,estratest, actose,and flaxseed daily high fiber diet lowered choles."
LIPITOR.249,prinivil,stiff neck,"vision problems, stiff neck symtoms, nerve pain and weakness in forearms from the elbows to the wrists in both arms with pain. took it with co q 10, vitamins, and bp med prinivil,estratest, actose,and flaxseed daily high fiber diet lowered choles."
LIPITOR.249,prinivil,vision problems,"vision problems, stiff neck symtoms, nerve pain and weakness in forearms from the elbows to the wrists in both arms with pain. took it with co q 10, vitamins, and bp med prinivil,estratest, actose,and flaxseed daily high fiber diet lowered choles."
LIPITOR.249,prinivil,weakness,"vision problems, stiff neck symtoms, nerve pain and weakness in forearms from the elbows to the wrists in both arms with pain. took it with co q 10, vitamins, and bp med prinivil,estratest, actose,and flaxseed daily high fiber diet lowered choles."
LIPITOR.254,lipitor,pain,pain immediately declined within a few days of stopping lipitor.
LIPITOR.255,lipitor,abdominal flu symptoms,"intermittent temperature elevation, chronic diarrhea, and severe joint aches similar to abdominal flu symptoms. lasted the duration of my lipitor history 6 weeks ."
LIPITOR.255,lipitor,chronic diarrhea,"intermittent temperature elevation, chronic diarrhea, and severe joint aches similar to abdominal flu symptoms. lasted the duration of my lipitor history 6 weeks ."
LIPITOR.255,lipitor,intermittent temperature elevation,"intermittent temperature elevation, chronic diarrhea, and severe joint aches similar to abdominal flu symptoms. lasted the duration of my lipitor history 6 weeks ."
LIPITOR.255,lipitor,severe joint aches,"intermittent temperature elevation, chronic diarrhea, and severe joint aches similar to abdominal flu symptoms. lasted the duration of my lipitor history 6 weeks ."
LIPITOR.258,lipitor,could not walk,"itook lipitor for ten plus years 10mg then doctor raised it to 20mg and about 2 weeks latter raised it to 40mg i took 4 pills and i could not walk,get out of a chair, put my hand up to my mouth,ringing in my ears, sinus problems,i was told the pain in my back was galblader when i had it removed 20years befor."
LIPITOR.258,lipitor,pain,"itook lipitor for ten plus years 10mg then doctor raised it to 20mg and about 2 weeks latter raised it to 40mg i took 4 pills and i could not walk,get out of a chair, put my hand up to my mouth,ringing in my ears, sinus problems,i was told the pain in my back was galblader when i had it removed 20years befor."
LIPITOR.258,lipitor,ringing in my ears,"itook lipitor for ten plus years 10mg then doctor raised it to 20mg and about 2 weeks latter raised it to 40mg i took 4 pills and i could not walk,get out of a chair, put my hand up to my mouth,ringing in my ears, sinus problems,i was told the pain in my back was galblader when i had it removed 20years befor."
LIPITOR.258,lipitor,sinus problems,"itook lipitor for ten plus years 10mg then doctor raised it to 20mg and about 2 weeks latter raised it to 40mg i took 4 pills and i could not walk,get out of a chair, put my hand up to my mouth,ringing in my ears, sinus problems,i was told the pain in my back was galblader when i had it removed 20years befor."
LIPITOR.258,lipitor,hairloss,i ask my doctor about my hairloss and spots on my bodyandwas told your age wheni lost my ability to walk very far i ask my pharmacist what drug if any would cause this she said stop the lipitor and get to your doctor a.s.a.p.
LIPITOR.258,lipitor,lost my ability to walk,i ask my doctor about my hairloss and spots on my bodyandwas told your age wheni lost my ability to walk very far i ask my pharmacist what drug if any would cause this she said stop the lipitor and get to your doctor a.s.a.p.
LIPITOR.259,lipitor,stroke,"i wondered, at first, if i had some kind of mild stroke but found this website and realized i was right, it was the lipitor."
LIPITOR.261,lipitor,balance,"fatigue and extremely high sleep requirement,pain and loss of support in calf musells, unable to walk,vertigo like attacks at night while in bed, loss of any sex drive not complaining ,ability to think ahead improving,. add on to 11 8 2006 report, been off lipitor for about 27 days sleep requirement went from 14 hrs to 8 ,still some fatique leg support weak but able to walk general mussel weakness persists with mild improvement,vertigo decreased no attacks balance not as good as it use to be, hope some more of my energy returns, exercise sessions indicate a recovery to 29 from 5 relating to pre attack exercise levels."
LIPITOR.261,lipitor,fatigue,"fatigue and extremely high sleep requirement,pain and loss of support in calf musells, unable to walk,vertigo like attacks at night while in bed, loss of any sex drive not complaining ,ability to think ahead improving,. add on to 11 8 2006 report, been off lipitor for about 27 days sleep requirement went from 14 hrs to 8 ,still some fatique leg support weak but able to walk general mussel weakness persists with mild improvement,vertigo decreased no attacks balance not as good as it use to be, hope some more of my energy returns, exercise sessions indicate a recovery to 29 from 5 relating to pre attack exercise levels."
LIPITOR.261,lipitor,fatique,"fatigue and extremely high sleep requirement,pain and loss of support in calf musells, unable to walk,vertigo like attacks at night while in bed, loss of any sex drive not complaining ,ability to think ahead improving,. add on to 11 8 2006 report, been off lipitor for about 27 days sleep requirement went from 14 hrs to 8 ,still some fatique leg support weak but able to walk general mussel weakness persists with mild improvement,vertigo decreased no attacks balance not as good as it use to be, hope some more of my energy returns, exercise sessions indicate a recovery to 29 from 5 relating to pre attack exercise levels."
LIPITOR.261,lipitor,high sleep requirement,"fatigue and extremely high sleep requirement,pain and loss of support in calf musells, unable to walk,vertigo like attacks at night while in bed, loss of any sex drive not complaining ,ability to think ahead improving,. add on to 11 8 2006 report, been off lipitor for about 27 days sleep requirement went from 14 hrs to 8 ,still some fatique leg support weak but able to walk general mussel weakness persists with mild improvement,vertigo decreased no attacks balance not as good as it use to be, hope some more of my energy returns, exercise sessions indicate a recovery to 29 from 5 relating to pre attack exercise levels."
LIPITOR.261,lipitor,leg support weak,"fatigue and extremely high sleep requirement,pain and loss of support in calf musells, unable to walk,vertigo like attacks at night while in bed, loss of any sex drive not complaining ,ability to think ahead improving,. add on to 11 8 2006 report, been off lipitor for about 27 days sleep requirement went from 14 hrs to 8 ,still some fatique leg support weak but able to walk general mussel weakness persists with mild improvement,vertigo decreased no attacks balance not as good as it use to be, hope some more of my energy returns, exercise sessions indicate a recovery to 29 from 5 relating to pre attack exercise levels."
LIPITOR.261,lipitor,loss of any sex drive,"fatigue and extremely high sleep requirement,pain and loss of support in calf musells, unable to walk,vertigo like attacks at night while in bed, loss of any sex drive not complaining ,ability to think ahead improving,. add on to 11 8 2006 report, been off lipitor for about 27 days sleep requirement went from 14 hrs to 8 ,still some fatique leg support weak but able to walk general mussel weakness persists with mild improvement,vertigo decreased no attacks balance not as good as it use to be, hope some more of my energy returns, exercise sessions indicate a recovery to 29 from 5 relating to pre attack exercise levels."
LIPITOR.261,lipitor,loss of support in calf musells,"fatigue and extremely high sleep requirement,pain and loss of support in calf musells, unable to walk,vertigo like attacks at night while in bed, loss of any sex drive not complaining ,ability to think ahead improving,. add on to 11 8 2006 report, been off lipitor for about 27 days sleep requirement went from 14 hrs to 8 ,still some fatique leg support weak but able to walk general mussel weakness persists with mild improvement,vertigo decreased no attacks balance not as good as it use to be, hope some more of my energy returns, exercise sessions indicate a recovery to 29 from 5 relating to pre attack exercise levels."
LIPITOR.261,lipitor,mussel weakness,"fatigue and extremely high sleep requirement,pain and loss of support in calf musells, unable to walk,vertigo like attacks at night while in bed, loss of any sex drive not complaining ,ability to think ahead improving,. add on to 11 8 2006 report, been off lipitor for about 27 days sleep requirement went from 14 hrs to 8 ,still some fatique leg support weak but able to walk general mussel weakness persists with mild improvement,vertigo decreased no attacks balance not as good as it use to be, hope some more of my energy returns, exercise sessions indicate a recovery to 29 from 5 relating to pre attack exercise levels."
LIPITOR.261,lipitor,pain,"fatigue and extremely high sleep requirement,pain and loss of support in calf musells, unable to walk,vertigo like attacks at night while in bed, loss of any sex drive not complaining ,ability to think ahead improving,. add on to 11 8 2006 report, been off lipitor for about 27 days sleep requirement went from 14 hrs to 8 ,still some fatique leg support weak but able to walk general mussel weakness persists with mild improvement,vertigo decreased no attacks balance not as good as it use to be, hope some more of my energy returns, exercise sessions indicate a recovery to 29 from 5 relating to pre attack exercise levels."
LIPITOR.261,lipitor,unable to walk,"fatigue and extremely high sleep requirement,pain and loss of support in calf musells, unable to walk,vertigo like attacks at night while in bed, loss of any sex drive not complaining ,ability to think ahead improving,. add on to 11 8 2006 report, been off lipitor for about 27 days sleep requirement went from 14 hrs to 8 ,still some fatique leg support weak but able to walk general mussel weakness persists with mild improvement,vertigo decreased no attacks balance not as good as it use to be, hope some more of my energy returns, exercise sessions indicate a recovery to 29 from 5 relating to pre attack exercise levels."
LIPITOR.261,lipitor,vertigo,"fatigue and extremely high sleep requirement,pain and loss of support in calf musells, unable to walk,vertigo like attacks at night while in bed, loss of any sex drive not complaining ,ability to think ahead improving,. add on to 11 8 2006 report, been off lipitor for about 27 days sleep requirement went from 14 hrs to 8 ,still some fatique leg support weak but able to walk general mussel weakness persists with mild improvement,vertigo decreased no attacks balance not as good as it use to be, hope some more of my energy returns, exercise sessions indicate a recovery to 29 from 5 relating to pre attack exercise levels."
LIPITOR.261,lipitor,vertigo like attacks,"fatigue and extremely high sleep requirement,pain and loss of support in calf musells, unable to walk,vertigo like attacks at night while in bed, loss of any sex drive not complaining ,ability to think ahead improving,. add on to 11 8 2006 report, been off lipitor for about 27 days sleep requirement went from 14 hrs to 8 ,still some fatique leg support weak but able to walk general mussel weakness persists with mild improvement,vertigo decreased no attacks balance not as good as it use to be, hope some more of my energy returns, exercise sessions indicate a recovery to 29 from 5 relating to pre attack exercise levels."
LIPITOR.268,tricor,gas,"tried tricor for about 8 days, but couldn't deal with the side-effects sore joints, sleeplessness, gas ."
LIPITOR.268,tricor,sleeplessness,"tried tricor for about 8 days, but couldn't deal with the side-effects sore joints, sleeplessness, gas ."
LIPITOR.268,tricor,sore joints,"tried tricor for about 8 days, but couldn't deal with the side-effects sore joints, sleeplessness, gas ."
LIPITOR.271,lipitor,confusion,"confusion, short term memory loss, lack of motivation. returned to normal within a week of quitting lipitor."
LIPITOR.271,lipitor,lack of motivation,"confusion, short term memory loss, lack of motivation. returned to normal within a week of quitting lipitor."
LIPITOR.271,lipitor,short term memory loss,"confusion, short term memory loss, lack of motivation. returned to normal within a week of quitting lipitor."
LIPITOR.273,lipitor,couldn't lift my arms,"after 9 months i stopped the lipitor myself, but by then i was a mess couldn't walk, couldn't lift my arms, horrible neck and muscle pain, horrible pain in every tendon in my body, particularly the achilles tendon and those on the back of the head."
LIPITOR.273,lipitor,couldn't walk,"after 9 months i stopped the lipitor myself, but by then i was a mess couldn't walk, couldn't lift my arms, horrible neck and muscle pain, horrible pain in every tendon in my body, particularly the achilles tendon and those on the back of the head."
LIPITOR.273,lipitor,horrible pain,"after 9 months i stopped the lipitor myself, but by then i was a mess couldn't walk, couldn't lift my arms, horrible neck and muscle pain, horrible pain in every tendon in my body, particularly the achilles tendon and those on the back of the head."
LIPITOR.273,lipitor,muscle pain,"after 9 months i stopped the lipitor myself, but by then i was a mess couldn't walk, couldn't lift my arms, horrible neck and muscle pain, horrible pain in every tendon in my body, particularly the achilles tendon and those on the back of the head."
LIPITOR.280,lipitor,bearly walk,developed severn calf cramps after a couple of weeks on lipitor where i could bearly walk and after talking to a friend he told me he was prescribed lipitor and had developed leg cramps and his doctor switched drugs.
LIPITOR.280,lipitor,leg cramps,developed severn calf cramps after a couple of weeks on lipitor where i could bearly walk and after talking to a friend he told me he was prescribed lipitor and had developed leg cramps and his doctor switched drugs.
LIPITOR.280,lipitor,severn calf cramps,developed severn calf cramps after a couple of weeks on lipitor where i could bearly walk and after talking to a friend he told me he was prescribed lipitor and had developed leg cramps and his doctor switched drugs.
LIPITOR.280,lipitor,leg cramps,before taking lipitor i never have leg cramps.
LIPITOR.280,lipitor,leg cramps,i then called my doctor and told him about my leg cramps and told me to stop taking the lipitor and he was going to prescribe another drug.
LIPITOR.280,lipitor,cramps,after one week off the drug i still have severn leg cramps and went in for another doctors visit and he said he didn't thiink it was a lipitor side effect because the cramps were localized and felt maybe the cramps were caused by a muscle enemze.
LIPITOR.280,lipitor,severn leg cramps,after one week off the drug i still have severn leg cramps and went in for another doctors visit and he said he didn't thiink it was a lipitor side effect because the cramps were localized and felt maybe the cramps were caused by a muscle enemze.
LIPITOR.280,liptior,cramps,anyway i asked the second doctor about liptior side effects re. leg cramps and he felt that the side effect could be localized and that the cramps could.
LIPITOR.280,liptior,leg cramps,anyway i asked the second doctor about liptior side effects re. leg cramps and he felt that the side effect could be localized and that the cramps could.
LIPITOR.281,pravachol,pains,the pravachol started the pains again in about 3 months.
LIPITOR.282,lipitor,fainting spells,i also have neurally mediated hypotension and since i have been taking lipitor i have had recurring fainting spells.
LIPITOR.286,lipitor,pain cramps in both my legs,"after about 10 weeks on lipitor i suddenly developed pain cramps in both my legs, the left being slightly worse than the right."
LIPITOR.289,lipitor,pain,the last time i was on vacation and was brought to the hospital where the doctor took a blood and urine test and told me that the pain was from the lipitor.
LIPITOR.29,lipitor,chest muscle soreness,at about the same time as i started taking lipitor i began experiencing chest muscle soreness and spazms which have persisted.
LIPITOR.29,lipitor,spazms,at about the same time as i started taking lipitor i began experiencing chest muscle soreness and spazms which have persisted.
LIPITOR.29,neurontin,muscle problems,"i now take neurontin, an anti-seizure drug together with pain killers to deal with the muscle problems."
LIPITOR.29,neurontin,pain,"i now take neurontin, an anti-seizure drug together with pain killers to deal with the muscle problems."
LIPITOR.29,lipitor,muscle problems,i remain suspicious that lipitor is contributing to my muscle problems physiotherpist say there is other causes but there is no denying that my cholesterol levels have been improved they never were that bad .
LIPITOR.297,cq10,depression,"been off drug for almost 5 months muscel pain is gone strength has recovered to 25 percent of normal,fatigue and vertigo have lifted,cq10 may have helped. plus saw palmetto,fish oils ,south beach diet,hydration but stil a long way from all clear,mental strength improving first,but body is still racked,depression has left but still resting when i can and still feeling extremely vulnerable."
LIPITOR.297,cq10,fatigue,"been off drug for almost 5 months muscel pain is gone strength has recovered to 25 percent of normal,fatigue and vertigo have lifted,cq10 may have helped. plus saw palmetto,fish oils ,south beach diet,hydration but stil a long way from all clear,mental strength improving first,but body is still racked,depression has left but still resting when i can and still feeling extremely vulnerable."
LIPITOR.297,cq10,feeling extremely vulnerable,"been off drug for almost 5 months muscel pain is gone strength has recovered to 25 percent of normal,fatigue and vertigo have lifted,cq10 may have helped. plus saw palmetto,fish oils ,south beach diet,hydration but stil a long way from all clear,mental strength improving first,but body is still racked,depression has left but still resting when i can and still feeling extremely vulnerable."
LIPITOR.297,cq10,muscel pain,"been off drug for almost 5 months muscel pain is gone strength has recovered to 25 percent of normal,fatigue and vertigo have lifted,cq10 may have helped. plus saw palmetto,fish oils ,south beach diet,hydration but stil a long way from all clear,mental strength improving first,but body is still racked,depression has left but still resting when i can and still feeling extremely vulnerable."
LIPITOR.297,cq10,vertigo,"been off drug for almost 5 months muscel pain is gone strength has recovered to 25 percent of normal,fatigue and vertigo have lifted,cq10 may have helped. plus saw palmetto,fish oils ,south beach diet,hydration but stil a long way from all clear,mental strength improving first,but body is still racked,depression has left but still resting when i can and still feeling extremely vulnerable."
LIPITOR.297,fish oils,depression,"been off drug for almost 5 months muscel pain is gone strength has recovered to 25 percent of normal,fatigue and vertigo have lifted,cq10 may have helped. plus saw palmetto,fish oils ,south beach diet,hydration but stil a long way from all clear,mental strength improving first,but body is still racked,depression has left but still resting when i can and still feeling extremely vulnerable."
LIPITOR.297,fish oils,fatigue,"been off drug for almost 5 months muscel pain is gone strength has recovered to 25 percent of normal,fatigue and vertigo have lifted,cq10 may have helped. plus saw palmetto,fish oils ,south beach diet,hydration but stil a long way from all clear,mental strength improving first,but body is still racked,depression has left but still resting when i can and still feeling extremely vulnerable."
LIPITOR.297,fish oils,feeling extremely vulnerable,"been off drug for almost 5 months muscel pain is gone strength has recovered to 25 percent of normal,fatigue and vertigo have lifted,cq10 may have helped. plus saw palmetto,fish oils ,south beach diet,hydration but stil a long way from all clear,mental strength improving first,but body is still racked,depression has left but still resting when i can and still feeling extremely vulnerable."
LIPITOR.297,fish oils,muscel pain,"been off drug for almost 5 months muscel pain is gone strength has recovered to 25 percent of normal,fatigue and vertigo have lifted,cq10 may have helped. plus saw palmetto,fish oils ,south beach diet,hydration but stil a long way from all clear,mental strength improving first,but body is still racked,depression has left but still resting when i can and still feeling extremely vulnerable."
LIPITOR.297,fish oils,vertigo,"been off drug for almost 5 months muscel pain is gone strength has recovered to 25 percent of normal,fatigue and vertigo have lifted,cq10 may have helped. plus saw palmetto,fish oils ,south beach diet,hydration but stil a long way from all clear,mental strength improving first,but body is still racked,depression has left but still resting when i can and still feeling extremely vulnerable."
LIPITOR.297,saw palmetto,depression,"been off drug for almost 5 months muscel pain is gone strength has recovered to 25 percent of normal,fatigue and vertigo have lifted,cq10 may have helped. plus saw palmetto,fish oils ,south beach diet,hydration but stil a long way from all clear,mental strength improving first,but body is still racked,depression has left but still resting when i can and still feeling extremely vulnerable."
LIPITOR.297,saw palmetto,fatigue,"been off drug for almost 5 months muscel pain is gone strength has recovered to 25 percent of normal,fatigue and vertigo have lifted,cq10 may have helped. plus saw palmetto,fish oils ,south beach diet,hydration but stil a long way from all clear,mental strength improving first,but body is still racked,depression has left but still resting when i can and still feeling extremely vulnerable."
